InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Category,Quantity,UnitPrice,Revenue
C508985,2022-01-06,12325,France,P0149,Food & Grocery,1,11.36,11.36
C508985,2022-01-06,12325,France,P0185,Sports & Outdoors,2,13.74,27.48
C508985,2022-01-06,12325,France,P0370,Music,3,9.94,29.82
C503369,2022-01-12,10859,United Kingdom,P0172,Clothing,6,7.88,47.28
C503369,2022-01-12,10859,United Kingdom,P0156,Toys,6,29.38,176.28
C505368,2022-01-16,11368,Netherlands,P0009,Office,6,35.96,215.76
C504007,2022-01-16,11006,Netherlands,P0319,Beauty,5,2.1,10.5
C505375,2022-01-16,11368,Netherlands,P0123,Tools,3,26.91,80.73
C505509,2022-01-17,11401,United Kingdom,P0165,Home & Garden,5,14.41,72.05
C505509,2022-01-17,11401,United Kingdom,P0161,Automotive,1,36.63,36.63
C505509,2022-01-17,11401,United Kingdom,P0148,Home & Garden,4,8.51,34.04
C505509,2022-01-17,11401,United Kingdom,P0094,Beauty,1,12.21,12.21
C505509,2022-01-17,11401,United Kingdom,P0352,Home & Garden,4,10.33,41.32
C505766,2022-01-22,11472,Germany,P0264,Clothing,3,68.21,204.63
C502083,2022-01-27,10533,Germany,P0326,Health,6,249.15,1494.9
C502083,2022-01-27,10533,Germany,P0174,Food & Grocery,3,48.47,145.41
C508205,2022-01-29,12119,United Kingdom,P0301,Home & Garden,3,27.68,83.04
C508205,2022-01-29,12119,United Kingdom,P0070,Electronics,2,32.8,65.6
C506037,2022-01-30,11543,United Kingdom,P0226,Pet Supplies,6,117.2,703.2
C507153,2022-01-31,11842,Spain,P0314,Health,2,30.74,61.48
C508769,2022-01-31,12266,United Kingdom,P0107,Books,5,35.47,177.35
C508769,2022-01-31,12266,United Kingdom,P0172,Clothing,1,7.8,7.8
C508769,2022-01-31,12266,United Kingdom,P0120,Baby,5,48.74,243.7
C505803,2022-02-01,11480,France,P0318,Tools,5,13.95,69.75
C505803,2022-02-01,11480,France,P0029,Music,6,8.63,51.78
C501123,2022-02-01,10305,United Kingdom,P0013,Health,5,25.33,126.65
C507753,2022-02-01,12013,United Kingdom,P0219,Toys,6,27.67,166.02
C501123,2022-02-01,10305,United Kingdom,P0098,Beauty,5,6.61,33.05
C501123,2022-02-01,10305,United Kingdom,P0242,Music,5,49.43,247.15
C501361,2022-02-05,10357,Netherlands,P0277,Jewelry,2,4.31,8.62
C501361,2022-02-05,10357,Netherlands,P0028,Baby,6,30.45,182.7
C501361,2022-02-05,10357,Netherlands,P0053,Music,6,8.67,52.02
C506560,2022-02-06,11698,Spain,P0372,Office,3,9.8,29.4
C506560,2022-02-06,11698,Spain,P0081,Music,1,10.89,10.89
C506560,2022-02-06,11698,Spain,P0371,Baby,4,29.49,117.96
C506838,2022-02-07,11769,United Kingdom,P0311,Toys,1,22.26,22.26
C506838,2022-02-07,11769,United Kingdom,P0192,Automotive,2,12.31,24.62
C506838,2022-02-07,11769,United Kingdom,P0013,Health,6,25.83,154.98
C506838,2022-02-07,11769,United Kingdom,P0350,Books,6,5.06,30.36
C509430,2022-02-09,12448,United Kingdom,P0069,Jewelry,1,3.85,3.85
C501599,2022-02-10,10413,Netherlands,P0020,Beauty,3,17.48,52.44
C503019,2022-02-10,10761,France,P0219,Toys,5,27.81,139.05
C507801,2022-02-12,12025,United Kingdom,P0039,Health,4,37.28,149.12
C507801,2022-02-12,12025,United Kingdom,P0103,Music,2,11.67,23.34
C507801,2022-02-12,12025,United Kingdom,P0211,Toys,4,26.01,104.04
C507359,2022-02-13,11902,France,P0186,Office,3,25.37,76.11
C507359,2022-02-13,11902,France,P0044,Music,4,8.82,35.28
C504674,2022-02-14,11189,Spain,P0280,Books,3,14.31,42.93
